no,stn_Cd,stn_Name,date,temp,hghst_Artmp,lowst_Artmp,hum,widdir,wind,max_Wind,rn,sun_Time,srqty,condens_Time,gr_Temp,soil_Temp,soil_Wt
1,026002D003,태백시 매봉산,2024-06-01,11.2,15.9,9.2,80.2,268.0,1.9,9.0,0.5,235.0,14.56,571.0,32.9,,17.0
2,026002D003,태백시 매봉산,2024-06-02,9.7,12.5,7.5,88.7,195.1,1.2,7.3,1.0,178.0,10.37,451.0,33.8,,16.9
3,026002D003,태백시 매봉산,2024-06-03,10.4,14.5,6.5,74.8,158.7,1.5,7.7,0.0,599.0,26.45,340.0,31.7,,16.7
4,026002D003,태백시 매봉산,2024-06-04,12.4,18.1,5.9,59.6,157.4,1.4,8.1,0.0,719.0,32.32,346.0,33.0,,16.0
5,026002D003,태백시 매봉산,2024-06-05,17.0,21.7,12.8,50.2,183.8,1.5,8.2,0.0,617.0,28.74,0.0,32.0,,15.1
6,026002D003,태백시 매봉산,2024-06-06,17.4,21.4,14.2,49.7,199.2,1.5,10.5,0.0,592.0,23.76,0.0,30.5,,14.1
7,026002D003,태백시 매봉산,2024-06-07,17.4,21.9,14.2,50.5,255.5,1.6,6.9,0.0,462.0,21.05,0.0,29.4,,13.3
8,026002D003,태백시 매봉산,2024-06-08,14.4,15.8,13.0,81.7,248.0,2.1,8.9,2.0,8.0,6.09,346.0,29.7,,12.9
9,026002D003,태백시 매봉산,2024-06-09,17.4,24.3,12.4,65.8,273.8,2.2,7.9,0.0,694.0,30.01,0.0,28.9,,12.8
10,026002D003,태백시 매봉산,2024-06-10,19.2,23.9,15.5,55.7,277.6,3.6,10.7,0.0,705.0,28.91,0.0,28.2,,11.7
11,026002D003,태백시 매봉산,2024-06-11,20.6,26.5,15.3,59.3,278.5,2.7,10.7,0.0,719.0,30.59,0.0,28.1,,10.6
12,026002D003,태백시 매봉산,2024-06-12,21.1,26.4,16.7,46.1,287.9,3.0,11.7,0.0,719.0,31.12,0.0,27.4,,9.4
13,026002D003,태백시 매봉산,2024-06-13,20.8,26.1,17.6,51.7,260.9,1.6,8.2,0.0,445.0,22.09,3.0,26.7,,8.5
14,026002D003,태백시 매봉산,2024-06-14,21.8,25.5,18.3,53.3,249.4,1.7,7.8,0.0,496.0,19.76,0.0,25.6,,8.1
15,026002D003,태백시 매봉산,2024-06-15,17.7,22.1,15.1,77.4,282.1,2.0,7.0,10.0,75.0,10.39,563.0,23.6,,7.8
16,026002D003,태백시 매봉산,2024-06-16,16.6,20.6,13.7,68.6,276.0,3.0,15.4,3.0,618.0,29.47,377.0,23.5,,8.1
17,026002D003,태백시 매봉산,2024-06-17,17.5,22.2,13.5,56.4,275.6,2.9,11.2,0.0,569.0,25.72,0.0,24.1,,8.1
18,026002D003,태백시 매봉산,2024-06-18,20.7,26.4,15.5,48.1,274.5,2.4,9.6,0.0,718.0,30.84,0.0,26.1,,8.0
19,026002D003,태백시 매봉산,2024-06-19,23.1,28.4,18.4,46.8,258.1,1.9,10.1,0.0,686.0,29.04,0.0,25.8,,7.7
20,026002D003,태백시 매봉산,2024-06-20,22.9,26.9,18.6,42.7,147.7,1.5,8.3,0.0,535.0,23.71,0.0,24.6,,7.2
21,026002D003,태백시 매봉산,2024-06-21,20.5,24.8,16.5,56.0,132.2,1.5,8.0,0.0,606.0,25.39,0.0,24.7,,6.7
22,026002D003,태백시 매봉산,2024-06-22,18.0,20.4,16.5,85.5,225.0,0.9,3.9,53.0,0.0,4.12,883.0,21.0,,12.2
23,026002D003,태백시 매봉산,2024-06-23,17.8,20.2,16.3,90.5,279.1,1.5,10.5,10.0,151.0,9.67,927.0,20.7,,30.6
24,026002D003,태백시 매봉산,2024-06-24,18.4,22.2,13.8,70.9,268.9,3.3,12.8,4.0,533.0,25.26,283.0,21.4,,29.2
25,026002D003,태백시 매봉산,2024-06-25,14.5,18.3,11.7,70.9,275.1,3.2,13.4,0.0,385.0,19.34,0.0,20.6,,27.0
26,026002D003,태백시 매봉산,2024-06-26,16.6,20.2,12.2,71.3,268.0,1.8,6.1,0.0,430.0,20.57,0.0,20.6,,25.6
27,026002D003,태백시 매봉산,2024-06-27,18.6,21.5,15.9,65.8,291.1,1.8,6.2,0.0,373.0,19.70,257.0,21.4,,24.2
28,026002D003,태백시 매봉산,2024-06-28,19.4,23.9,14.9,60.0,235.6,1.6,8.2,0.0,707.0,29.46,86.0,22.1,,22.5
29,026002D003,태백시 매봉산,2024-06-29,20.5,25.2,17.3,67.5,191.9,1.6,9.7,19.5,510.0,24.49,263.0,22.9,,20.5
30,026002D003,태백시 매봉산,2024-06-30,19.3,20.7,16.9,85.9,271.7,4.4,17.3,21.0,32.0,7.44,738.0,20.1,,29.5
